epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1033.38,0.68864,0.35016,0.86126,0.92049,0.90802,0.94827,0.7668,0.92583,0.45067,0.92555,0.000379743,0.000379743,0.000379743
80,1046.24,0.68222,0.34828,0.85931,0.93834,0.92195,0.94766,0.75992,0.92097,0.45086,0.92412,0.000363239,0.000363239,0.000363239
81,1058.98,0.68034,0.34718,0.85568,0.91669,0.91496,0.93978,0.75473,0.92229,0.46234,0.92577,0.000346736,0.000346736,0.000346736
82,1071.67,0.68191,0.34646,0.85715,0.91094,0.91183,0.93797,0.75802,0.93587,0.46596,0.92859,0.000330233,0.000330233,0.000330233
83,1084.55,0.6753,0.34323,0.85691,0.92384,0.91196,0.94561,0.77067,0.90413,0.43519,0.91814,0.000313729,0.000313729,0.000313729
84,1097.38,0.67468,0.34301,0.85515,0.93834,0.91659,0.95111,0.76876,0.92683,0.43315,0.92503,0.000297226,0.000297226,0.000297226
85,1110.3,0.67578,0.34144,0.85594,0.92535,0.9246,0.94858,0.76229,0.92866,0.43576,0.92505,0.000280723,0.000280723,0.000280723
86,1123.03,0.67126,0.33998,0.85439,0.92903,0.92828,0.94944,0.77216,0.91111,0.43086,0.92086,0.00026422,0.00026422,0.00026422
87,1135.87,0.66859,0.3385,0.85427,0.91948,0.93027,0.94983,0.76743,0.91985,0.43942,0.92389,0.000247716,0.000247716,0.000247716
88,1148.73,0.67144,0.33918,0.85434,0.89761,0.9203,0.94173,0.75973,0.92775,0.4479,0.92369,0.000231213,0.000231213,0.000231213
89,1161.72,0.66634,0.33687,0.85372,0.91826,0.90084,0.93746,0.7532,0.92646,0.44355,0.92538,0.00021471,0.00021471,0.00021471
90,1174.87,0.66532,0.33582,0.85504,0.89679,0.91696,0.94005,0.76118,0.91439,0.45316,0.92336,0.000198206,0.000198206,0.000198206
91,39.8621,0.6749,0.33928,0.8522,0.90776,0.8707,0.91799,0.73318,0.92415,0.45698,0.92849,0.000181703,0.000181703,0.000181703
92,52.4843,0.65558,0.31859,0.84774,0.91663,0.89121,0.92727,0.74581,0.92673,0.45685,0.92853,0.0001652,0.0001652,0.0001652
93,65.4419,0.65287,0.31606,0.84427,0.90615,0.88837,0.92914,0.74796,0.93119,0.46592,0.92724,0.000148696,0.000148696,0.000148696
94,78.2721,0.65151,0.31524,0.84753,0.89485,0.90832,0.9274,0.74155,0.93464,0.46748,0.9313,0.000132193,0.000132193,0.000132193
95,90.8457,0.64643,0.31211,0.84514,0.91288,0.90099,0.93167,0.75184,0.92579,0.45831,0.92747,0.00011569,0.00011569,0.00011569
96,103.327,0.64105,0.30889,0.84532,0.8936,0.90449,0.93199,0.75506,0.92831,0.46208,0.92525,9.91865e-05,9.91865e-05,9.91865e-05
97,115.879,0.64223,0.3079,0.84393,0.90495,0.89564,0.93204,0.75229,0.92856,0.45308,0.9272,8.26832e-05,8.26832e-05,8.26832e-05
98,128.476,0.64006,0.30738,0.84181,0.92887,0.87997,0.93205,0.75326,0.92822,0.44868,0.92752,6.61799e-05,6.61799e-05,6.61799e-05
99,140.982,0.63332,0.30467,0.84155,0.92236,0.88977,0.93319,0.75216,0.92758,0.45162,0.92759,4.96766e-05,4.96766e-05,4.96766e-05
100,153.479,0.63322,0.30448,0.8421,0.89748,0.91145,0.93235,0.75307,0.93053,0.45849,0.92828,3.31733e-05,3.31733e-05,3.31733e-05
