epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
65,5215.68,0.21044,0.29184,0.04642,0.94555,0.91859,0.94882,0.75326,0.28874,0.41149,0.08849,2.94239e-05,2.94239e-05,2.94239e-05
66,5296.96,0.20853,0.28853,0.04562,0.94067,0.90474,0.94335,0.74858,0.29292,0.41469,0.09057,2.80275e-05,2.80275e-05,2.80275e-05
67,5377.68,0.20775,0.28796,0.04646,0.93892,0.90965,0.93762,0.7414,0.29872,0.41672,0.09379,2.66532e-05,2.66532e-05,2.66532e-05
68,5457.28,0.2078,0.28838,0.04528,0.9374,0.918,0.94431,0.75002,0.29593,0.41476,0.09165,2.53024e-05,2.53024e-05,2.53024e-05
69,5537.47,0.20679,0.28616,0.04557,0.92953,0.92384,0.94323,0.7502,0.29738,0.41453,0.09161,2.39766e-05,2.39766e-05,2.39766e-05
70,5617.25,0.20796,0.28712,0.04525,0.93172,0.92907,0.94833,0.75202,0.2918,0.41663,0.08955,2.26769e-05,2.26769e-05,2.26769e-05
71,5696.56,0.20818,0.28733,0.04639,0.93302,0.92105,0.94631,0.75274,0.29352,0.41771,0.08908,2.14046e-05,2.14046e-05,2.14046e-05
72,5777.22,0.20522,0.28543,0.04423,0.93386,0.91602,0.94162,0.74615,0.29562,0.41618,0.0909,2.01611e-05,2.01611e-05,2.01611e-05
73,5856.61,0.20354,0.28441,0.04483,0.93098,0.91654,0.93901,0.74628,0.29243,0.41484,0.08934,1.89475e-05,1.89475e-05,1.89475e-05
74,5935.45,0.20484,0.28395,0.04437,0.93356,0.91181,0.94281,0.7486,0.29513,0.41587,0.0909,1.77651e-05,1.77651e-05,1.77651e-05
75,6017.34,0.20176,0.28236,0.04464,0.93071,0.9131,0.93349,0.73997,0.29538,0.41961,0.09062,1.66149e-05,1.66149e-05,1.66149e-05
76,6097.28,0.20427,0.28403,0.044,0.92753,0.9158,0.9372,0.74292,0.29454,0.41744,0.09075,1.54982e-05,1.54982e-05,1.54982e-05
