epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1135.26,0.67957,0.36775,0.85815,0.87699,0.78719,0.86026,0.69682,0.90632,0.54341,0.91672,0.00023525,0.00023525,0.00023525
84,1148.47,0.67766,0.36627,0.85773,0.87054,0.79547,0.85125,0.6865,0.907,0.54149,0.91645,0.000222875,0.000222875,0.000222875
85,1161.69,0.67336,0.36503,0.85595,0.85096,0.79884,0.85646,0.69151,0.90478,0.54,0.91815,0.0002105,0.0002105,0.0002105
86,1174.96,0.67645,0.36421,0.85732,0.83667,0.82363,0.86187,0.69335,0.91035,0.54277,0.9191,0.000198125,0.000198125,0.000198125
87,1188.12,0.67675,0.36294,0.85831,0.85114,0.79884,0.85836,0.69242,0.90164,0.54087,0.91683,0.00018575,0.00018575,0.00018575
88,1201.22,0.67377,0.35924,0.85569,0.86684,0.78253,0.85021,0.6844,0.91589,0.55278,0.92128,0.000173375,0.000173375,0.000173375
89,1214.49,0.6703,0.35964,0.85576,0.84115,0.80842,0.85203,0.68637,0.91199,0.54407,0.91981,0.000161,0.000161,0.000161
90,1227.7,0.66635,0.35799,0.85651,0.85445,0.80264,0.84509,0.68372,0.91072,0.54628,0.92115,0.000148625,0.000148625,0.000148625
91,1268.31,0.6657,0.34018,0.85193,0.87355,0.77899,0.84227,0.67545,0.93063,0.55426,0.92697,0.00013625,0.00013625,0.00013625
92,1281.21,0.6495,0.32934,0.84708,0.85018,0.80156,0.83907,0.68232,0.90873,0.55035,0.91895,0.000123875,0.000123875,0.000123875
93,1293.94,0.64821,0.32607,0.84533,0.84959,0.79386,0.83888,0.68004,0.92035,0.55614,0.92179,0.0001115,0.0001115,0.0001115
94,1306.82,0.64446,0.32494,0.84588,0.84316,0.79134,0.83233,0.6737,0.91347,0.56021,0.92092,9.9125e-05,9.9125e-05,9.9125e-05
95,1319.69,0.64105,0.32162,0.84505,0.85578,0.79171,0.8419,0.68067,0.91841,0.55021,0.92253,8.675e-05,8.675e-05,8.675e-05
96,1332.63,0.63855,0.32079,0.84299,0.84535,0.80164,0.83726,0.67835,0.91206,0.55436,0.9187,7.4375e-05,7.4375e-05,7.4375e-05
97,1345.61,0.63457,0.317,0.84351,0.864,0.79331,0.84329,0.68308,0.91315,0.55183,0.91864,6.2e-05,6.2e-05,6.2e-05
98,1358.66,0.63389,0.3159,0.84297,0.87172,0.78193,0.84304,0.68246,0.91423,0.55438,0.92167,4.9625e-05,4.9625e-05,4.9625e-05
99,1371.56,0.62746,0.31284,0.84106,0.87329,0.77954,0.83983,0.67885,0.91223,0.55443,0.92214,3.725e-05,3.725e-05,3.725e-05
100,1384.42,0.626,0.31222,0.84072,0.84452,0.79843,0.83787,0.679,0.91024,0.55635,0.9211,2.4875e-05,2.4875e-05,2.4875e-05
